timestamp,temperature,light,humidity,pressure,orientation_x,orientation_y,orientation_z,acceleration_x,acceleration_y,acceleration_z,mag_x,mag_y,mag_z,mag_res
20000,24421.0,74880,42,99359,-0.0216,0.712,-0.011,-0.996,-0.042,-0.019,50,-43,175,187.0133685061044
20104,24421.0,74880,42,99359,-0.0216,0.712,-0.011,-0.996,-0.042,-0.019,49,-47,172,184.9161972353963
20209,24411.0,74880,42,99359,-0.0216,0.712,-0.011,-0.995,-0.044,-0.019,48,-49,171,184.24440290006095
20305,24411.0,74880,42,99359,-0.0216,0.712,-0.011,-0.994,-0.043,-0.021,47,-52,170,183.88311504866343
20405,24421.0,74880,42,99360,-0.0216,0.712,-0.011,-0.996,-0.045,-0.019,46,-53,170,183.9157415774952
20505,24411.0,74880,42,99362,-0.0216,0.712,-0.011,-0.997,-0.044,-0.019,46,-56,168,182.96447742663057
20606,24411.0,74880,42,99362,-0.0216,0.712,-0.011,-0.997,-0.045,-0.015,44,-57,168,182.7812900709479
20706,24421.0,74880,42,99359,-0.0216,0.712,-0.011,-0.996,-0.046,-0.017,46,-59,167,182.99180309511135
20808,24411.0,74880,42,99363,-0.0216,0.712,-0.011,-0.996,-0.043,-0.02,46,-60,168,184.22811946062956
20905,24421.0,74880,42,99363,-0.0216,0.712,-0.011,-0.998,-0.044,-0.018,46,-62,167,183.98097727754356
21008,24421.0,74880,42,99363,-0.0216,0.712,-0.011,-0.996,-0.043,-0.02,47,-62,168,185.1404871982355
21105,24421.0,74880,42,99361,-0.0216,0.712,-0.011,-0.998,-0.045,-0.019,49,-63,170,187.8030883665122
21205,24421.0,74880,42,99360,-0.0216,0.712,-0.011,-0.995,-0.041,-0.017,49,-61,169,186.2337241210625
21305,24421.0,74880,42,99360,-0.0216,0.712,-0.011,-0.997,-0.042,-0.017,51,-61,171,188.58154734755996
21405,24411.0,74880,42,99359,-0.0216,0.712,-0.011,-0.997,-0.042,-0.017,52,-61,169,187.0454490224234
21507,24411.0,74880,42,99361,-0.0216,0.712,-0.011,-0.997,-0.045,-0.018,62,-41,176,191.05234884711572
21606,24411.0,74880,42,99361,-0.0216,0.712,-0.011,-0.995,-0.043,-0.017,47,-50,175,187.9734023738465
21705,24401.0,74880,42,99358,-0.0216,0.712,-0.011,-0.997,-0.044,-0.018,44,-55,172,185.86285266292455
21807,24411.0,74880,42,99361,-0.0216,0.712,-0.011,-0.997,-0.043,-0.018,49,-46,177,189.33039903829496
21904,24411.0,74880,42,99361,-0.0213,0.7119,-0.0112,-1.029,-0.066,-0.006,50,-44,178,190.0526242912736
22015,24411.0,74880,42,99361,-0.0186,0.71,-0.0119,-1.046,-0.048,0.008,51,-45,178,190.55183021949696
22107,24411.0,74880,42,99359,-0.0155,0.7067,-0.0071,-1.052,-0.077,0.0,53,-46,176,189.47559209565753
22208,24401.0,74880,42,99360,-0.0105,0.7017,0.0004,-1.053,-0.068,-0.062,51,-46,174,187.0641601162553
22307,24401.0,77760,42,99360,-0.0029,0.6958,0.0042,-1.019,0.036,-0.019,54,-46,174,187.90423092628865
22405,24411.0,77760,42,99361,0.003,0.6893,0.0049,-1.027,0.036,0.047,55,-47,170,184.75389035146188
22508,24401.0,83520,42,99359,0.0059,0.6826,0.0036,-1.032,0.02,0.038,55,-46,165,179.90553076545478
22605,24401.0,86400,42,99358,0.0063,0.6759,-0.0003,-1.031,0.058,0.104,55,-44,164,178.4852935118185
22705,24401.0,89280,42,99358,0.004,0.6695,-0.0067,-1.007,0.016,0.044,54,-42,159,173.09246084101989
22805,24401.0,92160,42,99358,-0.0014,0.6638,-0.0156,-0.992,0.05,0.07,54,-42,156,170.34083479894068
22909,24401.0,95040,42,99357,-0.0088,0.6586,-0.0268,-0.963,0.0,0.121,56,-39,153,167.5291019494822
23006,24401.0,97920,42,99357,-0.0162,0.6555,-0.0385,-0.949,-0.049,0.147,57,-37,149,163.76507564190845
23105,24381.0,103680,42,99353,-0.0217,0.6548,-0.0499,-0.962,-0.101,0.102,54,-32,147,159.84054554461454
23206,24391.0,106560,42,99356,-0.0252,0.6563,-0.061,-0.963,-0.11,0.147,53,-31,149,161.15520469410848
23301,24391.0,109440,42,99356,-0.0265,0.6597,-0.0715,-0.941,-0.113,0.089,52,-28,148,159.34867429633672
23406,24391.0,109440,42,99356,-0.0251,0.6649,-0.0812,-0.936,-0.11,0.123,51,-28,148,159.02515524281057
23508,24391.0,112320,42,99356,-0.021,0.6714,-0.09,-0.952,-0.137,0.114,51,-26,149,159.6182946908029
23610,24391.0,112320,42,99354,-0.0165,0.6789,-0.0955,-0.965,-0.143,0.111,48,-27,149,158.8521325006372
23709,24391.0,112320,42,99354,-0.0143,0.6864,-0.1004,-0.914,-0.174,0.063,48,-26,151,160.56462873248267
23818,24391.0,109440,42,99355,-0.0112,0.6903,-0.1051,-0.936,-0.144,0.08,49,-26,152,161.8054387219416
23915,24371.0,109440,42,99357,-0.0091,0.6905,-0.1071,-0.989,-0.182,0.023,47,-25,152,161.0527863776346
24016,24371.0,109440,42,99357,-0.0082,0.6906,-0.1083,-0.984,-0.176,0.029,46,-24,152,160.61133210331082
24110,24371.0,109440,42,99352,-0.0026,0.6899,-0.1151,-0.983,-0.161,0.036,47,-24,153,161.8456054392581
24221,24371.0,109440,42,99354,0.0082,0.6885,-0.1271,-0.977,-0.161,0.04,46,-21,152,160.19051157918187
24310,24371.0,106560,42,99354,0.0243,0.6859,-0.1445,-0.992,-0.163,0.043,46,-20,153,161.01242188104618
24406,24381.0,106560,42,99354,0.0451,0.6816,-0.1671,-0.982,-0.162,0.05,46,-17,152,159.71537183377183
24507,24371.0,106560,42,99352,0.0671,0.6762,-0.1911,-0.984,-0.12,0.052,45,-15,151,158.27507700203466
24605,24371.0,103680,42,99357,0.0891,0.67,-0.2148,-0.985,-0.124,0.056,45,-13,151,158.09807082946963
24706,24371.0,103680,42,99357,0.1109,0.663,-0.2383,-0.98,-0.14,0.072,45,-11,151,157.94619336976754
24806,24381.0,100800,42,99352,0.1327,0.6555,-0.2615,-0.986,-0.102,0.066,45,-8,150,156.808800773426
